countries,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,43533289.7861667,46434587.3401763,48746340.2829339,55669377.4615303,63648497.1488271,70456568.2135169,76161101.3711893,81790384.0359113,86886259.4348004,92631792.5745967,102405526.807979,110764399.267067,117148989.918705,119656018.657436,121243649.844633,120698406.133376,114102311.204697,118236573.500941,124546996.538592,130657324.272086,133994195.492557,142394756.967479
Colombia,3174410.51304246,3171878.99770818,3091839.07736729,3194393.1252238,3314484.04257925,3455915.28474733,3694673.26633579,3728028.67363939,4142477.2187537,4299954.26142928,4645121.79697877,5330142.26922229,5517123.79026074,5610077.71131786,5646136.52197769,5614259.94897414,5467300.4912719,5490971.43630531,5351733.81550284,5343165.22477236,4050535.17146318,4226079.32555301
Comoros,21.5252495051532,21.8037842502449,32.1992495661098,42.72976203111,52.8371970992096,52.7475173517369,52.3254950106889,52.1408602364804,51.9826018585874,51.486725607856,51.4656244908036,51.2546133202796,30.1197344805958,20.1325757796948,20.0671623168324,19.6641309811316,19.4805512627757,3.88809182807522,3.84209139290099,3.75810894703244,0.0,0.0
Congo-Brazzaville,648464.604238884,590642.348927543,577341.050982112,568129.790402494,542092.268323513,529968.671131123,558934.051790103,487632.938069584,550697.604262909,631986.508323238,807630.723770293,707247.14325692,653294.68354192,621770.499742958,600624.183103194,611757.0044782,519170.999438397,603533.253954908,813948.367769325,774530.811786177,666221.097375861,624906.754947492
Congo-Kinshasa,122942.569653957,118808.013371398,116238.008076063,114947.893614566,121911.025359719,121919.701956482,123191.181523769,130894.823992252,122323.853782638,129322.470426912,127221.525262158,124914.854091767,120803.309498654,127298.63317933,132901.783709302,132075.993603568,133191.674456779,134535.759436661,157147.15780903,158405.589761191,162800.213886541,151937.130513358
Cook Islands,1.07626247525766,1.09018921251225,1.07330831887033,1.06824405077775,1.05674394198419,1.05495034703474,1.04650990021378,1.04281720472961,1.03965203717175,1.02973451215712,1.02931248981607,1.02509226640559,1.00399114935319,8.05303031187794,14.5185919362282,34.1369313832444,45.5747496792637,68.0416069913164,153.68365571604,140.929085513717,120.328064935458,146.800239221259
Costa Rica,73110.509944253,73958.4361768308,79492.115499131,77623.3552055689,85281.9490887437,86243.5756308964,87481.2595414932,90021.9226592938,94001.2933829975,90493.0689283677,91300.0178466856,91212.7098647696,94850.3118396952,92229.8433792774,93369.6610766386,106727.517020404,105970.222444808,109197.058991493,108390.873173972,106483.480290625,108464.828453422,117659.68827946
Croatia,191737.170843596,200225.549036731,174291.80239154,180041.185883577,188861.463132694,174849.977944251,168105.999244669,163528.702734369,170705.151381434,188012.030189192,208402.864615912,159853.391380254,151583.762015721,183585.009080469,185681.590803072,156283.257508165,159041.19879451,141250.128970605,172447.772106904,149396.027474674,139569.798040415,154656.193328736
Cuba,138938.093728955,147136.994764087,142689.424100393,160691.91275569,168094.879929298,150552.366051765,148681.000721527,152738.953037082,179541.471189871,175865.397410104,183051.495391806,181481.247862797,180883.93032129,181457.269493735,185250.870658853,178742.10800167,168928.724462571,155174.650096182,149334.780320093,137478.099560444,131727.48400997,125515.125134042
Cyprus,0.0,0.0,0.0,0.0,0.0,10.5495034703474,10.4650990021378,31.2845161418882,424.96723404495,608.050622998335,1009.26202555698,2082.48593995909,2725.06834280245,3363.13714478619,3150.54448374269,3928.05764446339,4136.1009038369,4293.66522589793,4586.81453333832,4836.98498449204,5525.98215251547,7195.95149932023
Czechia,1326951.73960249,1357797.76869751,1364090.40787438,1444431.48927078,1460718.96294382,1409881.81705766,1441060.22474313,1435910.89084235,1402106.74543703,1357011.90206166,1358712.1658399,1422386.25400009,1414420.0075712,1313000.51075421,1212195.46973134,1170344.11635241,1093721.38331089,1115161.35508659,1092856.2138004,1052221.16491097,894661.889910021,900205.285846842
Côte d’Ivoire,97646.94904814,97081.3157138019,95614.2316993763,112519.861262207,126006.838527936,152099.395731248,204985.610616021,192633.136925713,213992.015210603,212757.288134967,177816.260105653,168753.576843093,170561.259479148,176316.93132929,177687.328659084,157352.098880974,193264.317063234,192303.962915134,191901.140027069,206918.395607502,202138.12444908,198644.93139416
Denmark,1207930.59200232,1180916.30425849,1245302.60700836,1250273.44995618,1358207.83045181,1375899.50989278,1289324.24164426,1184327.4142539,1165393.75729671,1033477.03494648,1016894.47323172,914635.75211064,840591.226914734,751409.096989566,742295.400782717,728671.441437093,683210.631644693,720688.161085308,629726.654513144,575565.631297792,433944.015168939,427159.505791393
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01995574676596,5.03314394492371,5.0167905792081,4.91603274528289,4.87013781569392,4.86011478509403,9.60522848225248,9.3952723675811,9.25600499503526,11.292326093943
Dominica,344.403992082452,294.351087378306,321.992495661098,309.790774725547,359.292940274625,286.946494393449,284.650692858148,222.120064607406,211.049363545865,246.106548405552,246.005685066041,368.008123639607,275.093574922775,376.479167080294,314.623004384457,249.311684644276,363.867476761756,275.636549921823,241.840442726153,198.973078200633,381.143773685562,381.506238841168
Dominican Republic,8922.21591988602,8416.26072059454,10228.6282788342,13609.4292069085,17594.7866340368,20877.4673678175,19098.8056789014,18530.8617280451,15178.9197427075,15821.8707792942,15547.7651586718,16606.4947157706,19668.186615829,22276.6951002323,16625.6439794956,13076.6471024525,19246.7846476224,27760.9756524571,25914.9064451172,21810.983872254,26983.1612975568,27689.7857577771
Ecuador,1006109.75194374,1038786.38714725,993731.847208609,1034413.9668737,1313349.71743087,1317830.01322207,1329506.54384752,1299981.6157503,1302474.97116806,1233891.77884587,1230491.41384597,1283339.20180599,1317368.74926434,1356649.54369316,1434172.34709969,1416329.35169223,1457311.6329637,1453316.0898518,1420561.12119483,1485086.74052606,1358235.34264164,1351415.88979814
Egypt,2689944.98905368,2842821.70222784,2817660.59601386,3010689.73120747,3018317.31506667,3347831.50933266,3778236.09937027,3839593.46107535,3985966.0710775,4137312.44207242,4114369.66205008,4123402.57248915,4110035.61694918,3960875.90719693,3652537.67410032,3510740.51698562,3363819.39159081,3730443.71073185,4139329.96720345,4400373.16562457,4045647.00999088,4393923.88213039
El Salvador,21192.6844002986,23298.4336605992,23413.6990400259,27448.2913870557,26399.3551748977,31640.0049727807,41866.1174709343,40456.1577103866,45067.4030723138,33529.185450348,40010.4057916405,39395.3208902333,38012.1089056612,38110.9659509623,37435.2913020508,34215.5879071689,34215.8545240031,39648.8164167971,39727.2250025963,39929.9075622197,48917.9863987614,51097.5443785994
Equatorial Guinea,354733.598860143,383098.48848264,496957.539862009,485300.668791409,779439.092908333,833877.354144787,803497.679223446,876889.938773479,978331.385699672,960115.85231039,928678.726006794,886424.997651728,892754.662598081,858494.598072906,819262.674368354,800570.329167685,736544.316030953,688762.181515882,638491.276101714,568233.104437979,527215.109735426,526581.710512271
Eritrea,10.7626247525766,10.9018921251225,10.7330831887033,10.6824405077775,10.5674394198419,10.5495034703474,20.9301980042756,20.8563440945922,41.5860814868699,41.1893804862848,41.1724995926429,51.2546133202796,50.1995574676596,60.3977273390845,60.2014869504972,68.8244584339605,68.1819294197149,77.7618365615045,115.26274178703,122.138540778554,138.840074925529,157.352084915599
Estonia,204.489870298956,207.135950377327,321.992495661098,523.439584881098,634.046365190515,1170.99488520856,1360.46287027791,1512.08494685793,2048.11451322834,5571.89344528218,10747.0722924194,12087.8880054547,14831.9612493947,12894.9147868945,14699.2064306609,16085.2591425656,16097.5295096552,18881.4487377946,20025.0043528712,20730.6675395405,23909.7344581713,29199.9309906442
Eswatini,13302.5710730765,11857.9592122794,14792.7351986684,14455.8848002698,15309.9906013908,15031.8217147165,14680.7990817046,15334.0037089429,14753.916044991,11793.0889545784,8035.52567873439,8469.15325571339,8974.59709912428,9089.7255728407,8410.86625108831,7276.68538369286,7960.85612146324,8104.43261846661,7557.81902924082,6622.11748564668,6900.69393885714,6962.38342844743
Ethiopia,18070.4469595761,21990.2066055845,21981.3543704643,24623.0253704271,26894.1333234977,30150.4809182528,34335.9898260141,35403.6441005702,34717.4518108751,36801.9388619023,51102.495660517,64527.6672014348,76033.1844717233,87333.1439224236,95297.7218818137,102482.676360214,121909.661478653,127648.873582285,132368.885295643,133592.317321872,131713.876679851,135814.286892652
Falkland Islands,2.15252495051532,2.18037842502449,2.14661663774065,2.67061012694437,2.64185985496048,2.63737586758684,3.13952970064133,3.12845161418882,20.793040743435,20.5946902431424,51.4656244908036,61.5055359843355,70.2793804547234,70.4640152289319,70.2350681089134,62.925219139621,71.1040121091312,63.1814922062224,64.3550308310916,62.9483248627934,62.0152334667362,62.0152334667362
Faroe Islands,815.645516874019,825.262331979645,1031.32049743612,938.163972714543,1066.80414431188,1142.70111690109,1202.56545653366,1242.68355018808,1121.6805829046,1096.53338996075,831.27276677546,1096.84872505398,1104.39026428851,1117.35795577306,1565.23866071293,1848.42831222637,1529.22327412789,1652.43902693197,1640.57302476872,1456.26721697507,1453.19278422054,1453.19278422054
Fiji,5457.7270120316,5920.81761315401,5979.40064442659,4679.97718645732,4978.32071068753,4653.38598077023,4741.73635786863,6289.23056172427,6280.53795655453,5674.86689649789,4974.66726328108,5423.76318155199,5913.5078696903,5908.91099134044,4861.22993692802,4742.84091166657,5347.65482852271,5476.46482191009,6340.34408453549,6300.46964969989,6382.94104457632,6390.83383441169
Finland,480725.688553062,467678.623626748,441016.21937555,436971.498743438,503715.590832731,488915.647460361,472656.192984685,498691.353431927,531408.280706621,478686.399094125,499293.003625375,497975.131601533,536501.451483494,519233.903760445,526807.317910593,562885.216921985,542980.729816467,556263.764935419,562000.850462498,566607.480647369,573450.947718299,591695.867288013
France,5318342.9693231,5446739.05246046,5429777.7925108,5446212.8088761,5471740.70696336,5432527.40643488,5478941.04619331,5422281.99449038,5535520.24589378,5191267.89247452,5462817.36953408,5468532.42814028,5473978.37191133,5591556.83998655,5664479.03247386,5641234.68343579,5344130.82897475,5222698.69832519,5580464.11861981,5385624.08215347,4864251.60672488,5107129.03899846
French Guiana,0.0,5778.0028263149,5892.46267059809,6099.67352994095,6266.49157596626,6498.49413773399,6687.19826236604,6913.8780673573,7163.20253611334,7321.41238143712,7699.25742382422,7165.39494217509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,1248.46447129889,1144.69867313786,1406.03389772013,1645.09583819774,1881.00421673186,1888.36112119218,2093.01980042756,2325.48236654703,2204.06231880411,2172.73982065152,2854.28353425997,2360.78748953208,2121.43329858329,1714.28882764102,1952.07334869451,1956.69901740848,2113.67877311369,2061.54404908205,1940.66917823974,2067.8994481046,2055.75870939733,2083.52672438244
Gabon,727960.248462191,624885.981500612,582982.888820609,560506.684017617,556843.115436527,616320.508742813,551656.654548099,565224.593941313,576587.068551723,561859.620714054,569973.119325883,558611.787466111,547100.722534064,520699.499683866,523233.122530018,507516.441165471,503432.201651932,478946.577401459,473414.254181485,485022.810512316,423622.480516102,423990.272366871
"Gambia, The",0.0,0.0,0.0,0.0,0.0,10.5495034703474,10.4650990021378,20.8563440945922,20.793040743435,31.9217698768707,33.9673121639304,36.9033215906013,31.123725629949,31.205492458527,31.1041015910902,30.4794030207539,30.1948544573023,30.132711667583,29.7762082949827,29.1253443395014,28.6936154846093,28.6936154846093
Georgia,69443.9507945374,66706.3446432712,75861.9407347129,76275.0109697292,68721.9771277618,70312.3793356274,57869.5172860987,73259.3153583806,76454.9112230479,80949.7062549123,99810.7803490346,85003.5944882805,78788.2221527463,92300.4998512567,90546.8983585868,89951.233281653,96485.7347394936,95482.5241122232,99075.8887542895,85242.7425747752,79898.9409608206,98969.025302267
Germany,5764190.9919092,5721491.3486049,5751273.23037089,5737038.94364581,5838529.0024785,5743467.18356946,5808454.11102308,5800744.15530221,5626440.6823828,5306339.85285253,5350114.34009082,5218786.88947361,5266849.66759923,5194155.10182828,5178892.98328644,5247765.66912913,5045489.07077586,5166446.27409942,5049184.39825101,4724547.6177583,4269323.49410581,4306480.67772409
Ghana,86626.6162958297,87485.1901520722,69666.8994311605,57235.7038476653,71439.8406072436,72655.6331639544,72037.5540140374,52299.7938501191,77681.3379100613,83984.6403847255,87888.4905270154,251793.708812844,259984.440794383,306061.930917755,325556.212941161,318989.150416417,304340.79669015,435313.208772891,494268.921858984,584433.928889379,626064.536033776,592624.176797421
Gibraltar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,411509.804712929,412186.414440103,437342.381499901,448162.138153147,456957.848061538,456663.989804102,443610.247416814,420229.689345632,426891.205925154,447297.62193793,431068.345418803,415995.851997538,450974.615930656,450441.037748835,413071.707475947,402219.420326117,336084.785927756,347938.625775526,352947.103391538,307806.702849235,239064.825859282,266700.100405778
Greenland,1840.4088326906,1722.49895576935,1953.42114034399,1922.83929139995,2028.94836860965,2141.54920448052,2051.159404419,2127.3470976484,2100.09711508693,2728.79645721637,3015.88559516109,3434.05909245873,3433.64973078792,3764.79167080294,3933.16381409915,4119.63544054706,3866.88942566097,3732.56815495222,3974.83565052572,3758.10894703244,4628.00249751763,4628.00249751763
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04281720472961,1.03965203717175,1.02973451215712,17.4983123268732,17.4265685288951,25.5114151050646,25.5784375281023,25.4953297235356,15.1217167244902,24.4773126616776,31.9309541380678,33.5702735454724,39.4601439438406,38.8752209791481,47.0205053747791
Guadeloupe,1356.09071882465,1177.40434951323,1373.83464815402,2286.04226866438,2472.78082424301,2299.79175653573,2344.18217647886,2367.19505473621,2193.66579843239,2255.11858162409,2243.90122779904,2388.46498072503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
