,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Production (terajoules),312657821.1,307331192.6,306101458.5,309181710,325956217.4,333917295.7,344761698.2,352809382.5,366553888.8,373528265.8,377349068.9,374495384,373202450.6,373897130.8,380287239.7,388619349.3,398303261.7,403100360.3,407880604.3,407659549.2,421540469.8,427528811,429472848.8,446007373.4,469541858.8,486361442.1,499426131.1,508496818.1,522572257.8,519855558,546367366.3,562695379.7,575634903.1,584231928.7,594215776.4,599601268.3,595571140.1,610955925.6,633737110,644767403.2,618353912.6,640225404.7
Consumption (terajoules),309067972.2,305397473.1,305700939.5,309915449.3,324211210,332849280.9,339971237.5,351085633,364597401.6,370738739.5,372879475.1,373194682.8,372046180.8,375048201.4,379056747.8,389465653.9,399849302.3,401073543.9,403465657.4,411017802.3,424282106.8,427339353.6,436562982.8,451692267.7,475116000.3,490529294.3,506112768.3,520215351.5,527444697.5,521963908.7,556311564.3,571226679.8,582212267.7,592609131.6,597832462.6,597353592.1,605235813.4,616863351.2,631472593.3,634029840.1,606522268.4,637327580.5
